#{"t_start": 1595620573.222629, "env_id": null}
r,l,t
-3010.478927,3571,249.37904
-1741.650397,3571,504.699509
-2383.101955,3571,759.958718
-1811.10456,2546,932.595911
-2429.850856,2365,1077.296157
-1798.688783,1726,1175.955565
-2878.784724,3571,1394.009445
-3235.859228,3571,1611.53928
-2679.104076,3571,1849.857997
-3249.332175,3571,2061.183349
-2571.29483,3571,2284.877662
-2930.636414,3571,2520.79249
-2028.96066,3571,2775.746671
-2069.334399,3031,2972.40366
-2959.738933,3571,3190.267656
-1346.465575,1229,3261.633421
-528.191084,402,3284.845786
-1363.921197,1503,3385.494685
-2247.840483,3571,3633.810855
-1581.660074,3306,3882.988388
-1451.252002,3047,4118.755918
-1748.211697,3571,4378.204242
-1846.452427,3571,4647.896316
-2156.671401,3072,4871.696615
-1549.564505,3571,5166.415753
-865.773556,2025,5331.473321
-2045.099137,3571,5596.899744
-1889.009883,3291,5836.521953
-2007.099979,3571,6086.109148
-610.210262,3571,6369.949416
-1649.646717,3571,6628.514359
-995.714716,3571,6905.280335
